wals_code	name	family	features
yay	Yay	Tai-Kadai	consonant_inventories=3 Average|vowel_quality_inventories=2 Average (5-6)|consonant-vowel_ratio=3 Average|voicing_in_plosives_and_fricatives=2 In plosives alone|voicing_and_gaps_in_plosive_systems=4 Missing /g/|uvular_consonants=1 None|glottalized_consonants=1 No glottalized consonants|lateral_consonants=2 /l/, no obstruent laterals|front_rounded_vowels=1 None|syllable_structure=2 Moderately complex|tone=3 Complex tone system|absence_of_common_consonants=1 All present|presence_of_uncommon_consonants=5 'Th' sounds|position_of_tense-aspect_affixes=5 No tense-aspect inflection|order_of_subject,_object_and_verb=2 SVO|order_of_subject_and_verb=1 SV|order_of_object_and_verb=2 VO|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=2 Noun-Demonstrative|order_of_numeral_and_noun=1 Numeral-Noun|order_of_adverbial_subordinator_and_clause=1 Initial subordinator word|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 VO and NAdj|periphrastic_causative_constructions=1 Sequential but no purposive|nonperiphrastic_causative_constructions=1 Neither
yaz	Yazgulyam	Indo-European	number_of_genders=2 Two|sex-based_and_non-sex-based_gender_systems=2 Sex-based|systems_of_gender_assignment=3 Semantic and formal|antipassive_constructions=3 No antipassive|applicative_constructions=8 No applicative construction|other_roles_of_applied_objects=5 No applicative construction|productivity_of_the_antipassive_construction=4 no antipassive
ybi	Yamphu	Sino-Tibetan	order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=1 Adjective-Noun|order_of_demonstrative_and_noun=1 Demonstrative-Noun|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=1 OV and AdjN|negative_morphemes=1 Negative affix|postverbal_negative_morphemes=4 None|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 MorphNeg|preverbal_negative_morphemes=2 [Neg-V]|order_of_negative_morpheme_and_verb=3 [Neg-V]|the_position_of_negative_morphemes_in_sov_languages=5 SO[Neg-V]|minor_morphological_means_of_signaling_negation=4 None
ych	Yup'ik (Chevak)	Eskimo-Aleut	fixed_stress_locations=1 No fixed stress|weight-sensitive_stress=1 Left-edge: First or second|weight_factors_in_weight-sensitive_stress_systems=7 Combined|rhythm_types=4 Undetermined
yct	Yucatec	Mayan	consonant_inventories=3 Average|vowel_quality_inventories=2 Average (5-6)|consonant-vowel_ratio=3 Average|voicing_in_plosives_and_fricatives=4 In both plosives and fricatives|voicing_and_gaps_in_plosive_systems=2 None missing in /p t k b d g/|uvular_consonants=1 None|glottalized_consonants=1 No glottalized consonants|lateral_consonants=2 /l/, no obstruent laterals|front_rounded_vowels=1 None|tone=1 No tones|absence_of_common_consonants=1 All present|presence_of_uncommon_consonants=1 None|reduplication=1 Productive full and partial reduplication|politeness_distinctions_in_pronouns=1 No politeness distinction|comitatives_and_instrumentals=1 Identity|numeral_classifiers=1 Absent|perfective/imperfective_aspect=1 Grammatical marking|the_past_tense=4 No past tense|the_future_tense=2 No inflectional future|the_perfect=4 No perfect|hand_and_arm=1 Identical|finger_and_hand=2 Different|numeral_bases=3 Pure vigesimal
yel	Yelî Dnye	Yele	consonant_inventories=5 Large|vowel_quality_inventories=2 Average (5-6)|consonant-vowel_ratio=4 Moderately high|voicing_in_plosives_and_fricatives=1 No voicing contrast|voicing_and_gaps_in_plosive_systems=1 Other|uvular_consonants=1 None|glottalized_consonants=1 No glottalized consonants|lateral_consonants=2 /l/, no obstruent laterals|front_rounded_vowels=1 None|syllable_structure=1 Simple|tone=1 No tones|fixed_stress_locations=2 Initial|weight-sensitive_stress=8 Fixed stress (no weight-sensitivity)|weight_factors_in_weight-sensitive_stress_systems=1 No weight|rhythm_types=1 Trochaic|absence_of_common_consonants=3 No fricatives|presence_of_uncommon_consonants=1 None|number_of_genders=1 None|sex-based_and_non-sex-based_gender_systems=1 No gender|systems_of_gender_assignment=1 No gender|coding_of_nominal_plurality=7 Plural word|plurality_in_independent_personal_pronouns=4 Person-number stem|gender_distinctions_in_independent_personal_pronouns=6 No gender distinctions|person_marking_on_adpositions=4 Pronouns and nouns|comitatives_and_instrumentals=2 Differentiation|position_of_pronominal_possessive_affixes=1 Possessive prefixes|position_of_tense-aspect_affixes=1 Tense-aspect prefixes|order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=2 Noun-Demonstrative|order_of_numeral_and_noun=2 Noun-Numeral|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=1 OV and Postpositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=2 OV and NAdj|alignment_of_verbal_person_marking=2 Accusative|expression_of_pronominal_subjects=2 Subject affixes on verb|verbal_person_marking=5 Both the A and P arguments|third_person_zero_of_verbal_person_marking=3 Zero in some 3sg forms|order_of_person_markers_on_the_verb=1 A and P do not or do not both occur on the verb|passive_constructions=2 Absent|nonperiphrastic_causative_constructions=2 Morphological but no compound
yey	Yeyi	Niger-Congo	consonant_inventories=5 Large|vowel_quality_inventories=2 Average (5-6)|consonant-vowel_ratio=5 High|voicing_in_plosives_and_fricatives=4 In both plosives and fricatives|voicing_and_gaps_in_plosive_systems=2 None missing in /p t k b d g/|uvular_consonants=1 None|glottalized_consonants=2 Ejectives only|lateral_consonants=3 Laterals, but no /l/, no obstruent laterals|front_rounded_vowels=1 None|syllable_structure=2 Moderately complex|tone=2 Simple tone system|absence_of_common_consonants=1 All present|presence_of_uncommon_consonants=1 None|occurrence_of_nominal_plurality=6 All nouns, always obligatory|'want'_complement_subjects=3 Both construction types exist
yi	Yi	Sino-Tibetan	order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_numeral_and_noun=2 Noun-Numeral|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=1 OV and Postpositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=2 OV and NAdj|polar_questions=1 Question particle|postverbal_negative_morphemes=4 None|sovneg_order=11 NoSOVNeg|position_of_negative_word_with_respect_to_subject,_object,_and_verb=21 Other|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|the_position_of_negative_morphemes_in_sov_languages=14 Other NegV|minor_morphological_means_of_signaling_negation=4 None
yid	Yidiny	Pama-Nyungan	consonant_inventories=3 Average|vowel_quality_inventories=2 Average (5-6)|consonant-vowel_ratio=5 High|voicing_in_plosives_and_fricatives=1 No voicing contrast|voicing_and_gaps_in_plosive_systems=1 Other|uvular_consonants=1 None|glottalized_consonants=1 No glottalized consonants|lateral_consonants=2 /l/, no obstruent laterals|the_velar_nasal=2 No initial velar nasal|vowel_nasalization=2 Contrast absent|front_rounded_vowels=1 None|syllable_structure=2 Moderately complex|tone=1 No tones|fixed_stress_locations=2 Initial|weight-sensitive_stress=8 Fixed stress (no weight-sensitivity)|weight_factors_in_weight-sensitive_stress_systems=1 No weight|rhythm_types=1 Trochaic|absence_of_common_consonants=1 All present|presence_of_uncommon_consonants=1 None|fusion_of_selected_inflectional_formatives=1 Exclusively concatenative|exponence_of_selected_inflectional_formatives=1 Monoexponential case|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|reduplication=1 Productive full and partial reduplication|case_syncretism=2 Core cases only|syncretism_in_verbal_person/number_marking=1 No subject person/number marking|number_of_genders=1 None|sex-based_and_non-sex-based_gender_systems=1 No gender|systems_of_gender_assignment=1 No gender|coding_of_nominal_plurality=2 Plural suffix|occurrence_of_nominal_plurality=6 All nouns, always obligatory|plurality_in_independent_personal_pronouns=4 Person-number stem|the_associative_plural=2 Unique affixal associative plural|definite_articles=5 No definite or indefinite article|indefinite_articles=5 No definite or indefinite article|inclusive/exclusive_distinction_in_independent_pronouns=3 No inclusive/exclusive|inclusive/exclusive_distinction_in_verbal_inflection=1 No person marking|distance_contrasts_in_demonstratives=2 Two-way contrast|third_person_pronouns_and_demonstratives=1 Unrelated|gender_distinctions_in_independent_personal_pronouns=6 No gender distinctions|indefinite_pronouns=1 Interrogative-based|person_marking_on_adpositions=2 No person marking|number_of_cases=8 10 or more cases|asymmetrical_case-marking=3 Additive-quantitatively asymmetrical|position_of_case_affixes=1 Case suffixes|numeral_classifiers=1 Absent|conjunctions_and_universal_quantifiers=2 Formally similar, without interrogative|position_of_pronominal_possessive_affixes=4 No possessive affixes|genitives,_adjectives_and_relative_clauses=4 Adjectives and relative clauses collapsed|adjectives_without_nouns=2 Without marking|noun_phrase_conjunction=1 'And' different from 'with'|nominal_and_verbal_conjunction=2 Differentiation|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|the_morphological_imperative=1 Second singular and second plural|the_prohibitive=1 Normal imperative + normal negative|imperative-hortative_systems=1 Maximal system|the_optative=2 Inflectional optative absent|epistemic_possibility=3 Other|semantic_distinctions_of_evidentiality=1 No grammatical evidentials|coding_of_evidentiality=1 No grammatical evidentials|order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_object,_oblique,_and_verb=5 OVX|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_numeral_and_noun=2 Noun-Numeral|order_of_relative_clause_and_noun=7 Mixed|position_of_polar_question_particles=2 Final|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=2 OV and NAdj|alignment_of_case_marking_of_full_noun_phrases=2 Nominative - accusative (standard)|alignment_of_case_marking_of_pronouns=2 Nominative - accusative (standard)|alignment_of_verbal_person_marking=1 Neutral|expression_of_pronominal_subjects=2 Subject affixes on verb|verbal_person_marking=5 Both the A and P arguments|third_person_zero_of_verbal_person_marking=1 No person marking|order_of_person_markers_on_the_verb=1 A and P do not or do not both occur on the verb|ditransitive_constructions:_the_verb_'give'=1 Indirect-object construction|reciprocal_constructions=4 Identical to reflexive|passive_constructions=2 Absent|antipassive_constructions=2 Oblique patient|applicative_constructions=5 Non-benefactive object; both bases|periphrastic_causative_constructions=2 Purposive but no sequential|nonperiphrastic_causative_constructions=2 Morphological but no compound|negative_morphemes=2 Negative particle|symmetric_and_asymmetric_standard_negation=3 Both|subtypes_of_asymmetric_standard_negation=3 A/Cat|polar_questions=1 Question particle|predicative_possession=5 'Have'|predicative_adjectives=2 Nonverbal encoding|nominal_and_locational_predication=2 Identical|zero_copula_for_predicate_nominals=1 Impossible|relativization_on_subjects=2 Non-reduction|purpose_clauses=3 Deranked|'when'_clauses=1 Balanced|numeral_bases=1 Decimal|postverbal_negative_morphemes=4 None|negsov_order=4 No NegSOV|sovneg_order=11 NoSOVNeg|position_of_negative_word_with_respect_to_subject,_object,_and_verb=7 SONegV|sonegv_order=1 Word&NoDoubleNeg|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=3 Immed preverbal|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|snegov_order=4 No SNegOV|the_position_of_negative_morphemes_in_sov_languages=3 SONegV|minor_morphological_means_of_signaling_negation=4 None|inclusive/exclusive_forms_in_pama-nyungan=2 Inclusive and exclusive differentiated|other_roles_of_applied_objects=5 No applicative construction|exponence_of_tense-aspect-mood_inflection=1 monoexponential TAM|productivity_of_the_antipassive_construction=1 productive
yin	Yindjibarndi	Pama-Nyungan	fixed_stress_locations=1 No fixed stress|weight-sensitive_stress=1 Left-edge: First or second|weight_factors_in_weight-sensitive_stress_systems=2 Long vowel|rhythm_types=1 Trochaic|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|reduplication=1 Productive full and partial reduplication|coding_of_nominal_plurality=2 Plural suffix|definite_articles=3 Definite affix|politeness_distinctions_in_pronouns=1 No politeness distinction|indefinite_pronouns=1 Interrogative-based|position_of_case_affixes=1 Case suffixes|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|order_of_subject,_object_and_verb=2 SVO|order_of_subject_and_verb=1 SV|order_of_object_and_verb=2 VO|order_of_object,_oblique,_and_verb=6 No dominant order|order_of_adposition_and_noun_phrase=4 No dominant order|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_numeral_and_noun=1 Numeral-Noun|position_of_polar_question_particles=2 Final|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|order_of_adverbial_subordinator_and_clause=4 Subordinating suffix|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=5 Other|expression_of_pronominal_subjects=5 Optional pronouns in subject position|negative_morphemes=2 Negative particle|polar_questions=1 Question particle|comparative_constructions=3 Conjoined|postverbal_negative_morphemes=4 None|svnego_order=7 No SVNegO|position_of_negative_word_with_respect_to_subject,_object,_and_verb=2 SNegVO|snegvo_order=1 Word&NoDoubleNeg|svoneg_order=4 No SVONeg|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=3 Immed preverbal|the_position_of_negative_morphemes_in_svo_languages=2 SNegVO|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|negsvo_order=4 No NegSVO|minor_morphological_means_of_signaling_negation=4 None|inclusive/exclusive_forms_in_pama-nyungan=2 Inclusive and exclusive differentiated
yir	Yir Yiront	Pama-Nyungan	fixed_stress_locations=1 No fixed stress|weight-sensitive_stress=8 Fixed stress (no weight-sensitivity)|weight_factors_in_weight-sensitive_stress_systems=1 No weight|rhythm_types=5 No rhythmic stress|reduplication=1 Productive full and partial reduplication|comitatives_and_instrumentals=2 Differentiation|order_of_demonstrative_and_noun=2 Noun-Demonstrative|ditransitive_constructions:_the_verb_'give'=2 Double-object construction|'want'_complement_subjects=1 Subject is left implicit|hand_and_arm=2 Different|finger_and_hand=1 Identical|cultural_categories_of_languages_with_identity_of_'finger'_and_'hand'=1 Hunter-gatherers
ykn	Yakan	Austronesian	number_of_non-derived_basic_colour_categories=7 6|number_of_basic_colour_categories=7 11|green_and_blue=1 Green vs. blue|red_and_yellow=1 Red vs. yellow
yko	Yukaghir (Kolyma)	Yukaghir	consonant_inventories=4 Moderately large|vowel_quality_inventories=2 Average (5-6)|consonant-vowel_ratio=3 Average|voicing_in_plosives_and_fricatives=2 In plosives alone|voicing_and_gaps_in_plosive_systems=2 None missing in /p t k b d g/|uvular_consonants=4 Uvular stops and continuants|glottalized_consonants=1 No glottalized consonants|lateral_consonants=2 /l/, no obstruent laterals|the_velar_nasal=1 Initial velar nasal|vowel_nasalization=2 Contrast absent|front_rounded_vowels=1 None|syllable_structure=3 Complex|tone=1 No tones|fixed_stress_locations=1 No fixed stress|weight-sensitive_stress=8 Fixed stress (no weight-sensitivity)|weight_factors_in_weight-sensitive_stress_systems=4 Long vowel or coda consonant|absence_of_common_consonants=1 All present|presence_of_uncommon_consonants=1 None|locus_of_marking_in_the_clause=3 Double marking|locus_of_marking_in_possessive_noun_phrases=4 No marking|locus_of_marking:_whole-language_typology=5 Inconsistent or other|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|reduplication=1 Productive full and partial reduplication|case_syncretism=1 No case marking|syncretism_in_verbal_person/number_marking=2 Syncretic|number_of_genders=1 None|sex-based_and_non-sex-based_gender_systems=1 No gender|systems_of_gender_assignment=1 No gender|coding_of_nominal_plurality=2 Plural suffix|plurality_in_independent_personal_pronouns=7 Person stem + pronominal plural affix|the_associative_plural=1 Associative same as additive plural|definite_articles=5 No definite or indefinite article|indefinite_articles=5 No definite or indefinite article|inclusive/exclusive_distinction_in_independent_pronouns=3 No inclusive/exclusive|inclusive/exclusive_distinction_in_verbal_inflection=3 No inclusive/exclusive|distance_contrasts_in_demonstratives=2 Two-way contrast|pronominal_and_adnominal_demonstratives=2 Different stem|third_person_pronouns_and_demonstratives=1 Unrelated|gender_distinctions_in_independent_personal_pronouns=6 No gender distinctions|politeness_distinctions_in_pronouns=1 No politeness distinction|indefinite_pronouns=1 Interrogative-based|person_marking_on_adpositions=2 No person marking|number_of_cases=7 8-9 cases|asymmetrical_case-marking=2 Symmetrical|position_of_case_affixes=1 Case suffixes|comitatives_and_instrumentals=2 Differentiation|ordinal_numerals=6 First, two-th, three-th|distributive_numerals=1 No distributive numerals|numeral_classifiers=1 Absent|position_of_pronominal_possessive_affixes=2 Possessive suffixes|obligatory_possessive_inflection=2 Absent|possessive_classification=2 Two classes|genitives,_adjectives_and_relative_clauses=4 Adjectives and relative clauses collapsed|adjectives_without_nouns=2 Without marking|action_nominal_constructions=7 Restricted|noun_phrase_conjunction=2 'And' identical to 'with'|nominal_and_verbal_conjunction=1 Identity|perfective/imperfective_aspect=2 No grammatical marking|the_past_tense=1 Present, no remoteness distinctions|the_future_tense=1 Inflectional future exists|the_perfect=4 No perfect|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|the_morphological_imperative=1 Second singular and second plural|the_prohibitive=1 Normal imperative + normal negative|imperative-hortative_systems=1 Maximal system|the_optative=2 Inflectional optative absent|situational_possibility=1 Affixes on verbs|epistemic_possibility=2 Affixes on verbs|overlap_between_situational_and_epistemic_modal_marking=3 No overlap|semantic_distinctions_of_evidentiality=2 Indirect only|coding_of_evidentiality=2 Verbal affix or clitic|suppletion_according_to_tense_and_aspect=4 None|verbal_number_and_suppletion=1 None|order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=1 Adjective-Noun|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_numeral_and_noun=1 Numeral-Noun|order_of_relative_clause_and_noun=2 Relative clause-Noun|position_of_polar_question_particles=6 No question particle|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|order_of_adverbial_subordinator_and_clause=2 Final subordinator word|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=1 OV and Postpositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=1 OV and RelN|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=1 OV and AdjN|alignment_of_case_marking_of_full_noun_phrases=2 Nominative - accusative (standard)|alignment_of_case_marking_of_pronouns=2 Nominative - accusative (standard)|alignment_of_verbal_person_marking=2 Accusative|expression_of_pronominal_subjects=2 Subject affixes on verb|verbal_person_marking=2 Only the A argument|third_person_zero_of_verbal_person_marking=2 No zero realization|order_of_person_markers_on_the_verb=1 A and P do not or do not both occur on the verb|ditransitive_constructions:_the_verb_'give'=1 Indirect-object construction|reciprocal_constructions=2 Distinct from reflexive|passive_constructions=1 Present|nonperiphrastic_causative_constructions=2 Morphological but no compound|negative_morphemes=1 Negative affix|symmetric_and_asymmetric_standard_negation=3 Both|subtypes_of_asymmetric_standard_negation=3 A/Cat|negative_indefinite_pronouns_and_predicate_negation=1 Predicate negation also present|polar_questions=2 Interrogative verb morphology|predicative_possession=5 'Have'|predicative_adjectives=1 Verbal encoding|nominal_and_locational_predication=1 Different|zero_copula_for_predicate_nominals=1 Impossible|relativization_on_subjects=4 Gap|relativization_on_obliques=4 Gap|'want'_complement_subjects=4 Desiderative verbal affix|purpose_clauses=3 Deranked|'when'_clauses=3 Deranked|reason_clauses=3 Deranked|utterance_complement_clauses=2 Balanced/deranked|numeral_bases=1 Decimal|m-t_pronouns=2 M-T pronouns, paradigmatic|n-m_pronouns=1 No N-M pronouns|para-linguistic_usages_of_clicks=2 Affective meanings|postverbal_negative_morphemes=2 [V-Neg]|prenominal_relative_clauses=1 Relative clause-Noun (RelN) dominant|negsov_order=4 No NegSOV|sovneg_order=11 NoSOVNeg|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 MorphNeg|sonegv_order=8 No SONegV|preverbal_negative_morphemes=2 [Neg-V]|order_of_negative_morpheme_and_verb=3 [Neg-V]|snegov_order=4 No SNegOV|the_position_of_negative_morphemes_in_sov_languages=5 SO[Neg-V]|minor_morphological_means_of_signaling_negation=4 None|m_in_second_person_singular=1 No m in second person singular|m_in_first_person_singular=2 m in first person singular|zero_marking_of_a_and_p_arguments=2 Non-zero marking|number_of_possessive_nouns=1 None reported|suppletion_in_imperatives_and_hortatives=5 None (= no suppletive imperatives reported in the reference material)
ykp	Yukpa	Cariban	the_velar_nasal=2 No initial velar nasal|vowel_nasalization=2 Contrast absent|hand_and_arm=1 Identical|finger_and_hand=2 Different|cultural_categories_of_languages_with_identity_of_'finger'_and_'hand'=3 Full-fledged farmers
ykt	Yakut	Altaic	consonant_inventories=3 Average|vowel_quality_inventories=2 Average (5-6)|consonant-vowel_ratio=3 Average|voicing_in_plosives_and_fricatives=2 In plosives alone|voicing_and_gaps_in_plosive_systems=2 None missing in /p t k b d g/|uvular_consonants=1 None|glottalized_consonants=1 No glottalized consonants|lateral_consonants=2 /l/, no obstruent laterals|the_velar_nasal=2 No initial velar nasal|front_rounded_vowels=1 None|syllable_structure=2 Moderately complex|tone=1 No tones|absence_of_common_consonants=1 All present|presence_of_uncommon_consonants=1 None|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|number_of_genders=1 None|sex-based_and_non-sex-based_gender_systems=1 No gender|systems_of_gender_assignment=1 No gender|coding_of_nominal_plurality=2 Plural suffix|plurality_in_independent_personal_pronouns=7 Person stem + pronominal plural affix|indefinite_pronouns=1 Interrogative-based|position_of_case_affixes=1 Case suffixes|comitatives_and_instrumentals=1 Identity|ordinal_numerals=5 First/one-th, two-th, three-th|distributive_numerals=4 Marked by suffix|conjunctions_and_universal_quantifiers=2 Formally similar, without interrogative|position_of_pronominal_possessive_affixes=2 Possessive suffixes|noun_phrase_conjunction=1 'And' different from 'with'|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|the_optative=2 Inflectional optative absent|semantic_distinctions_of_evidentiality=2 Indirect only|coding_of_evidentiality=3 Part of the tense system|order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=1 Adjective-Noun|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_relative_clause_and_noun=2 Relative clause-Noun|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=1 OV and Postpositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=1 OV and RelN|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=1 OV and AdjN|reciprocal_constructions=2 Distinct from reflexive|nonperiphrastic_causative_constructions=2 Morphological but no compound|negative_morphemes=1 Negative affix|negative_indefinite_pronouns_and_predicate_negation=1 Predicate negation also present|predicative_possession=1 Locational|predicative_adjectives=2 Nonverbal encoding|nominal_and_locational_predication=2 Identical|zero_copula_for_predicate_nominals=1 Impossible|numeral_bases=1 Decimal|tea=1 Words derived from Sinitic cha|postverbal_negative_morphemes=2 [V-Neg]|prenominal_relative_clauses=1 Relative clause-Noun (RelN) dominant|negsov_order=4 No NegSOV|sovneg_order=2 Suffix&NoDoubleNeg|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 MorphNeg|sonegv_order=8 No SONegV|preverbal_negative_morphemes=4 None|order_of_negative_morpheme_and_verb=4 [V-Neg]|snegov_order=4 No SNegOV|the_position_of_negative_morphemes_in_sov_languages=6 SO[V-Neg]|minor_morphological_means_of_signaling_negation=4 None
ylb	Yulparija	Pama-Nyungan	number_of_genders=1 None|sex-based_and_non-sex-based_gender_systems=1 No gender|systems_of_gender_assignment=1 No gender|hand_and_arm=2 Different|inclusive/exclusive_forms_in_pama-nyungan=1 No inclusive/exclusive opposition
ymd	Yamdena	Austronesian	the_velar_nasal=3 No velar nasal|fixed_stress_locations=6 Penultimate|weight-sensitive_stress=8 Fixed stress (no weight-sensitivity)|weight_factors_in_weight-sensitive_stress_systems=1 No weight|rhythm_types=5 No rhythmic stress
yna	Yupik (Naukan)	Eskimo-Aleut	plurality_in_independent_personal_pronouns=3 Person-number affixes|m-t_pronouns=1 No M-T pronouns|n-m_pronouns=2 N-M pronouns, paradigmatic|m_in_second_person_singular=2 m in second person singular|m_in_first_person_singular=1 No m in first person singular
yng	Yingkarta	Pama-Nyungan	prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|occurrence_of_nominal_plurality=6 All nouns, always obligatory|definite_articles=3 Definite affix|indefinite_pronouns=1 Interrogative-based|position_of_case_affixes=1 Case suffixes|numeral_classifiers=1 Absent|position_of_pronominal_possessive_affixes=2 Possessive suffixes|genitives,_adjectives_and_relative_clauses=6 Highly differentiated|adjectives_without_nouns=2 Without marking|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|the_morphological_imperative=1 Second singular and second plural|the_prohibitive=1 Normal imperative + normal negative|order_of_subject,_object_and_verb=2 SVO|order_of_subject_and_verb=1 SV|order_of_object_and_verb=2 VO|order_of_adjective_and_noun=1 Adjective-Noun|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_numeral_and_noun=1 Numeral-Noun|position_of_polar_question_particles=6 No question particle|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=3 VO and AdjN|expression_of_pronominal_subjects=2 Subject affixes on verb|ditransitive_constructions:_the_verb_'give'=3 Secondary-object construction|negative_morphemes=2 Negative particle|polar_questions=1 Question particle|postverbal_negative_morphemes=4 None|svnego_order=7 No SVNegO|position_of_negative_word_with_respect_to_subject,_object,_and_verb=2 SNegVO|snegvo_order=1 Word&NoDoubleNeg|svoneg_order=4 No SVONeg|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=3 Immed preverbal|the_position_of_negative_morphemes_in_svo_languages=2 SNegVO|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|negsvo_order=4 No NegSVO|minor_morphological_means_of_signaling_negation=4 None|inclusive/exclusive_forms_in_pama-nyungan=2 Inclusive and exclusive differentiated
ynk	Yankuntjatjara	Pama-Nyungan	reduplication=1 Productive full and partial reduplication|distance_contrasts_in_demonstratives=2 Two-way contrast|pronominal_and_adnominal_demonstratives=1 Identical|indefinite_pronouns=4 Mixed|reciprocal_constructions=2 Distinct from reflexive|nonperiphrastic_causative_constructions=4 Both|'want'_complement_subjects=1 Subject is left implicit|zero_marking_of_a_and_p_arguments=2 Non-zero marking
yns	Yansi	Niger-Congo	position_of_tense-aspect_affixes=1 Tense-aspect prefixes|order_of_genitive_and_noun=2 Noun-Genitive|order_of_demonstrative_and_noun=2 Noun-Demonstrative|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|order_of_adverbial_subordinator_and_clause=1 Initial subordinator word
